,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
48,49,Waves,WAVES,"$578,596,489",$5.56,"103,986,874 WAVES *","$122,947,295",1.40%,3.52%,-21.76%,
49,50,Kusama,KSM,"$574,334,884",$67.81,"8,470,098 KSM *","$102,102,564",-1.15%,-0.66%,10.69%,
50,51,Elrond,EGLD,"$564,360,431",$33.95,"16,621,448 EGLD *","$114,435,542",-0.88%,10.85%,42.73%,
51,52,UMA,UMA,"$513,582,959",$9.25,"55,506,671 UMA *","$24,821,348",-0.50%,5.49%,15.87%,
52,53,OMG Network,OMG,"$482,294,983",$3.44,"140,245,398 OMG *","$739,878,375",-0.06%,6.51%,35.82%,
53,54,OKB,OKB,"$450,786,084",$7.51,"60,000,000 OKB *","$213,107,451",0.18%,4.55%,-1.33%,
54,55,renBTC,RENBTC,"$432,387,052","$33,978.69","12,725 RENBTC *","$16,148,374",-0.89%,6.01%,24.93%,
55,56,The Graph,GRT,"$423,553,349",$0.34,"1,245,666,867 GRT *","$192,150,081",5.64%,10.56%,-8.91%,
56,57,Ontology,ONT,"$409,431,053",$0.5082,"805,646,909 ONT *","$157,548,532",-0.12%,3.00%,11.95%,
57,58,Reserve Rights,RSR,"$386,657,522",$0.04135,"9,349,999,000 RSR *","$314,705,386",-2.47%,34.87%,111.28%,
58,59,DigiByte,DGB,"$389,196,604",$0.02798,"13,911,787,562 DGB","$29,553,763",-0.28%,-1.04%,10.69%,
59,60,Blockstack,STX,"$385,908,034",$0.5217,"739,781,894 STX *","$5,921,306",-1.49%,6.25%,28.04%,
60,61,Nexo,NEXO,"$348,311,639",$0.622,"560,000,011 NEXO *","$26,141,188",-0.79%,-1.08%,7.19%,
61,62,Terra,LUNA,"$347,741,837",$0.7167,"485,215,888 LUNA *","$43,799,821",-0.51%,6.93%,10.60%,
62,63,Basic Attention Token,BAT,"$346,225,568",$0.2319,"1,493,080,869 BAT *","$204,421,749",0.61%,6.43%,12.73%,
63,64,0x,ZRX,"$334,216,755",$0.4458,"749,772,094 ZRX *","$132,857,011",-1.64%,13.30%,21.97%,
64,65,Avalanche,AVAX,"$326,014,027",$4.24,"76,937,055 AVAX *","$69,735,075",-1.66%,18.03%,44.89%,
65,66,ICON,ICX,"$319,056,261",$0.5498,"580,363,168 ICX *","$91,651,562",1.19%,5.53%,18.20%,
66,67,Celo,CELO,"$319,345,954",$2.57,"124,447,717 CELO *","$180,787,706",-9.82%,72.10%,66.10%,
67,68,BitTorrent,BTT,"$308,031,234",$0.0003112,"989,971,443,896 BTT *","$78,306,180",-0.13%,-1.26%,7.03%,
68,69,Ren,REN,"$304,750,957",$0.3445,"884,532,525 REN *","$74,509,745",-0.15%,2.39%,-3.27%,
69,70,NEAR Protocol,NEAR,"$295,753,867",$1.50,"196,911,019 NEAR *","$38,167,272",1.55%,8.55%,28.89%,
70,71,TrueUSD,TUSD,"$274,950,517",$0.9997,"275,031,537 TUSD *","$136,439,968",0.00%,0.00%,0.02%,
71,72,SwissBorg,CHSB,"$256,025,811",$0.2745,"932,687,845 CHSB *","$3,408,339",-0.16%,-0.71%,-7.61%,
72,73,Qtum,QTUM,"$254,729,716",$2.61,"97,531,908 QTUM *","$493,174,667",-0.18%,4.39%,14.92%,
73,74,Hedera Hashgraph,HBAR,"$255,085,477",$0.03773,"6,760,904,153 HBAR *","$65,214,329",1.57%,16.42%,15.39%,
74,75,THORChain,RUNE,"$250,980,766",$1.58,"158,432,088 RUNE *","$36,469,561",-1.88%,-0.38%,32.02%,
75,76,Paxos Standard,PAX,"$244,896,347",$0.9998,"244,951,954 PAX *","$163,774,009",-0.16%,0.14%,-0.25%,
76,77,Energy Web Token,EWT,"$233,422,162",$7.76,"30,062,138 EWT *","$959,547",0.44%,5.24%,20.74%,
77,78,Ampleforth,AMPL,"$229,526,190",$1.06,"216,985,826 AMPL *","$42,245,900",0.57%,-2.40%,8.90%,
78,79,Nano,NANO,"$206,034,619",$1.55,"133,248,297 NANO *","$29,457,285",1.37%,3.41%,45.02%,
79,80,HUSD,HUSD,"$200,965,540",$0.9991,"201,152,492 HUSD *","$125,449,020",0.06%,-0.04%,0.00%,
80,81,Ocean Protocol,OCEAN,"$189,739,173",$0.4528,"419,026,837 OCEAN *","$69,367,380",-4.75%,15.21%,34.75%,
81,82,Siacoin,SC,"$191,910,048",$0.00424,"45,264,232,992 SC","$20,611,202",0.78%,-3.56%,32.82%,
82,83,NXM,NXM,"$186,238,719",$32.10,"5,801,350 NXM *","$23,818,116",-1.26%,3.83%,34.24%,
83,84,Kyber Network,KNC,"$183,437,063",$0.9112,"201,317,421 KNC *","$56,054,585",1.32%,11.14%,10.48%,
84,85,TerraUSD,UST,"$184,034,159",$0.9922,"185,484,916 UST *","$8,031,796",-0.63%,-1.14%,-0.53%,
85,86,Augur,REP,"$182,761,122",$16.61,"11,000,000 REP *","$14,100,247",-0.06%,1.24%,-4.07%,
86,87,ABBC Coin,ABBC,"$172,995,781",$0.2051,"843,431,089 ABBC","$39,565,822",-0.83%,0.29%,5.76%,
87,88,HedgeTrade,HEDG,"$161,153,120",$0.4751,"339,231,468 HEDG *","$267,926",0.30%,3.49%,-0.50%,
88,89,Bitcoin Gold,BTG,"$160,004,356",$9.14,"17,513,924 BTG","$19,132,000",0.29%,2.58%,8.23%,
89,90,Lisk,LSK,"$157,178,151",$1.24,"126,852,608 LSK *","$6,032,063",0.16%,3.79%,6.83%,
90,91,Horizen,ZEN,"$152,897,194",$14.40,"10,621,531 ZEN","$16,429,618",1.80%,7.60%,24.38%,
91,92,Band Protocol,BAND,"$152,066,379",$7.42,"20,494,033 BAND *","$153,090,607",0.19%,10.20%,31.19%,
92,93,Gnosis,GNO,"$153,104,288",$101.76,"1,504,589 GNO *","$1,102,845",-1.48%,8.06%,37.73%,
93,94,Bancor,BNT,"$153,473,787",$1.58,"97,151,873 BNT *","$45,249,337",5.27%,12.69%,18.24%,
94,95,Quant,QNT,"$153,035,609",$12.68,"12,072,738 QNT *","$3,823,272",1.34%,12.23%,0.64%,
95,96,Theta Fuel,TFUEL,"$149,901,100",$0.03021,"4,962,631,792 TFUEL *","$12,179,665",-1.93%,3.18%,8.49%,
96,97,MaidSafeCoin,MAID,"$145,927,869",$0.3225,"452,552,412 MAID *","$841,913",-0.64%,2.91%,10.03%,
97,98,Verge,XVG,"$144,472,379",$0.008801,"16,414,563,943 XVG","$6,344,287",0.32%,-1.20%,18.30%,
98,99,Status,SNT,"$135,430,101",$0.03902,"3,470,483,788 SNT *","$29,706,207",2.13%,5.09%,16.87%,
99,100,Aragon,ANT,"$131,116,739",$3.31,"39,609,523 ANT *","$23,936,347",0.14%,-0.54%,11.83%,
100,101,Numeraire,NMR,"$127,529,486",$28.56,"4,465,650 NMR *","$19,173,441",0.97%,2.19%,21.07%,
101,102,ZB Token,ZB,"$124,775,418",$0.2693,"463,288,810 ZB *","$14,204,279",-0.83%,-0.17%,5.54%,
102,103,CyberVein,CVT,"$123,823,358",$0.1168,"1,060,404,496 CVT *","$6,273,906",-0.12%,-0.57%,-2.37%,
103,104,Holo,HOT,"$122,851,998",$0.0007343,"167,313,361,967 HOT *","$14,383,185",-1.45%,-0.15%,28.82%,
104,105,Decentraland,MANA,"$121,952,437",$0.08219,"1,483,772,648 MANA *","$41,774,563",0.62%,3.49%,2.88%,
105,106,Enjin Coin,ENJ,"$120,738,846",$0.1467,"823,130,411 ENJ *","$14,535,887",-0.03%,3.85%,9.68%,
106,107,Matic Network,MATIC,"$118,067,499",$0.02447,"4,825,514,238 MATIC *","$58,583,192",-2.14%,-0.60%,32.62%,
107,108,Balancer,BAL,"$116,447,709",$16.77,"6,943,831 BAL *","$103,045,447",-0.57%,6.76%,26.10%,
108,109,Ravencoin,RVN,"$117,187,286",$0.01493,"7,847,620,000 RVN","$27,204,341",-0.93%,9.63%,16.67%,
109,110,RSK Infrastructure Framework,RIF,"$109,836,339",$0.1621,"677,726,677 RIF *","$1,401,062",-2.40%,13.59%,5.13%,
110,111,Chiliz,CHZ,"$108,640,765",$0.02001,"5,429,628,749 CHZ *","$57,970,278",-1.39%,6.35%,-30.19%,
111,112,Curve DAO Token,CRV,"$106,692,048",$0.687,"155,297,961 CRV *","$82,062,825",-0.82%,1.48%,44.89%,
112,113,Solana,SOL,"$100,461,486",$2.16,"46,569,948 SOL *","$50,555,207",-2.04%,-13.19%,28.84%,
113,114,Helium,HNT,"$95,236,375",$1.48,"64,457,621 HNT","$1,360,042",2.48%,10.01%,15.52%,
114,115,Arweave,AR,"$94,386,672",$2.83,"33,394,701 AR *","$3,720,223",-1.00%,5.13%,24.94%,
115,116,Orchid,OXT,"$94,117,166",$0.256,"367,584,352 OXT *","$21,867,795",-0.63%,9.58%,10.73%,
116,117,MonaCoin,MONA,"$92,710,631",$1.41,"65,729,675 MONA","$3,889,331",-0.66%,0.92%,5.18%,
117,118,DxChain Token,DX,"$92,809,993",$0.001856,"50,000,000,000 DX *","$462,513",1.27%,4.85%,20.90%,
118,119,Bitcoin Diamond,BCD,"$93,009,715",$0.4987,"186,492,898 BCD","$3,194,793",0.01%,4.48%,8.44%,
119,120,Utrust,UTK,"$91,330,091",$0.203,"449,981,000 UTK *","$12,223,234",-0.11%,14.90%,62.62%,
120,121,1inch,1INCH,"$90,400,528",$1.25,"72,164,169 1INCH *","$89,986,368",-0.93%,21.47%,41.10%,
121,122,IOST,IOST,"$88,010,363",$0.005743,"15,324,121,695 IOST *","$58,595,902",-1.02%,-0.68%,-0.89%,
122,123,Nervos Network,CKB,"$88,793,248",$0.003786,"23,450,201,743 CKB *","$4,372,952",-2.28%,-0.33%,2.30%,
123,124,PAX Gold,PAXG,"$86,929,953","$2,020.68","43,020 PAXG *","$9,875,627",0.15%,1.14%,6.29%,
124,125,Bytom,BTM,"$86,439,226",$0.06177,"1,399,389,119 BTM","$19,307,252",-1.30%,2.85%,12.23%,
125,126,Unibright,UBT,"$85,794,115",$0.5766,"148,799,999 UBT *","$1,789,468",-1.48%,4.44%,24.35%,
126,127,Kin,KIN,"$85,833,117",$0.00005654,"1,518,114,145,968 KIN *","$425,559",-0.75%,-0.17%,-8.24%,
127,128,Syntropy,NOIA,"$84,455,021",$0.2628,"321,395,830 NOIA *","$2,371,073",-0.77%,-8.25%,15.50%,
128,129,FunFair,FUN,"$79,791,919",$0.01218,"6,548,879,189 FUN *","$25,430,104",2.41%,32.73%,168.63%,
129,130,Kleros,PNK,"$76,737,398",$0.1283,"598,319,631 PNK *","$2,295,023",-0.86%,2.12%,11.96%,
130,131,Golem,GNT,"$76,702,056",$0.1186,"646,580,068 GNT *","$2,502,246",5.79%,3.99%,1.04%,
131,132,BitShares,BTS,"$73,572,019",$0.02457,"2,994,830,000 BTS *","$13,807,144",-1.53%,3.44%,14.45%,
132,133,Serum,SRM,"$74,384,044",$1.49,"50,000,000 SRM *","$174,063,387",0.87%,13.85%,38.00%,
133,134,Kava.io,KAVA,"$73,756,231",$1.57,"46,876,230 KAVA *","$41,166,209",-0.78%,3.50%,21.29%,
134,135,Ardor,ARDR,"$73,002,268",$0.07308,"998,999,495 ARDR *","$2,285,730",-0.28%,2.94%,12.21%,
135,136,TomoChain,TOMO,"$71,138,779",$0.9295,"76,535,425 TOMO","$22,905,151",-4.01%,-3.60%,34.60%,
136,137,Injective Protocol,INJ,"$68,895,923",$4.59,"15,000,178 INJ *","$20,423,917",-0.87%,5.57%,6.62%,
137,138,iExec RLC,RLC,"$68,221,942",$0.852,"80,070,793 RLC *","$4,940,672",-0.78%,3.71%,11.30%,
138,139,Komodo,KMD,"$67,448,464",$0.5461,"123,507,615 KMD","$3,199,811",1.93%,0.72%,4.54%,
139,140,Storj,STORJ,"$67,572,921",$0.312,"216,560,645 STORJ *","$21,987,311",0.53%,2.86%,4.29%,
140,141,Steem,STEEM,"$66,985,620",$0.1694,"395,335,433 STEEM *","$4,379,412",0.82%,2.60%,4.06%,
141,142,KuCoin Shares,KCS,"$67,051,590",$0.8369,"80,118,638 KCS *","$8,701,101",-0.83%,0.66%,16.53%,
142,143,Oasis Network,ROSE,"$66,146,106",$0.0441,"1,500,000,000 ROSE *","$10,338,231",-1.48%,6.74%,8.00%,
143,144,TrustSwap,SWAP,"$65,323,089",$0.9222,"70,836,614 SWAP *","$1,594,313",0.01%,-0.04%,82.85%,
144,145,Velas,VLX,"$64,670,052",$0.0307,"2,106,296,362 VLX *","$1,090,340",0.23%,-0.72%,6.96%,
145,146,Swipe,SXP,"$64,091,039",$0.7636,"83,936,975 SXP *","$49,390,181",-0.12%,3.64%,18.95%,
146,147,Civic,CVC,"$61,712,342",$0.09211,"670,000,000 CVC *","$16,715,952",-1.38%,7.85%,9.68%,
147,148,Divi,DIVI,"$61,440,959",$0.02951,"2,081,963,280 DIVI","$477,470",-4.39%,-11.22%,8.80%,
148,149,aelf,ELF,"$60,836,195",$0.1117,"544,480,200 ELF *","$20,266,032",0.11%,2.60%,4.10%,
149,150,DFI.Money,YFII,"$59,667,287","$1,545.94","38,596 YFII *","$86,762,397",-0.82%,-0.95%,16.17%,
150,151,SingularityNET,AGI,"$57,901,249",$0.06787,"853,144,672 AGI *","$1,520,278",-0.89%,3.38%,49.59%,
151,152,Keep3rV1,KP3R,"$56,073,965",$280.37,"200,001 KP3R *","$11,085,879",-0.84%,2.92%,7.98%,
152,153,Ankr,ANKR,"$56,120,670",$0.008639,"6,496,232,711 ANKR *","$10,015,614",0.07%,0.46%,1.02%,
153,154,Polymath,POLY,"$54,624,719",$0.0983,"555,670,901 POLY *","$1,644,658",3.33%,7.34%,20.24%,
154,155,Wanchain,WAN,"$53,761,904",$0.3181,"169,028,581 WAN *","$3,750,218",0.22%,3.47%,-5.22%,
155,156,Uquid Coin,UQC,"$53,441,291",$5.34,"10,000,000 UQC *","$7,752,512",-0.77%,6.83%,13.80%,
156,157,WAX,WAXP,"$53,353,369",$0.03618,"1,474,605,400 WAXP *","$650,430",0.04%,2.52%,0.30%,
157,158,JUST,JST,"$53,202,112",$0.02354,"2,260,326,706 JST *","$134,502,976",-0.79%,-1.63%,2.21%,
158,159,Fantom,FTM,"$52,388,271",$0.02058,"2,545,006,273 FTM *","$12,894,239",0.40%,0.83%,25.92%,
159,160,Electroneum,ETN,"$52,156,948",$0.005102,"10,223,816,395 ETN","$1,105,134",0.96%,1.42%,4.13%,
160,161,LBRY Credits,LBC,"$51,025,866",$0.09852,"517,899,496 LBC","$15,666,899",1.86%,5.78%,70.56%,
161,162,LTO Network,LTO,"$50,683,055",$0.1859,"272,586,274 LTO *","$16,325,463",-0.06%,10.49%,58.92%,
162,163,Alpha Finance Lab,ALPHA,"$50,076,783",$0.2876,"174,136,442 ALPHA *","$31,095,586",1.19%,12.45%,48.96%,
163,164,OriginTrail,TRAC,"$48,343,565",$0.1423,"339,837,976 TRAC *","$615,888",-1.34%,-13.04%,-17.49%,
164,165,Hive,HIVE,"$48,815,416",$0.1163,"419,603,471 HIVE *","$2,083,591",-0.18%,3.34%,1.14%,
165,166,Energi,NRG,"$48,030,480",$1.32,"36,394,161 NRG","$3,106,396",-0.07%,-0.30%,-3.95%,
166,167,Haven Protocol,XHV,"$47,966,304",$3.36,"14,270,817 XHV *","$570,601",1.01%,12.43%,-6.70%,
167,168,Ark,ARK,"$46,907,484",$0.3715,"126,270,191 ARK *","$1,937,726",-0.35%,1.80%,-0.77%,
168,169,Melon,MLN,"$46,799,253",$31.68,"1,477,204 MLN *","$5,806,017",0.22%,3.32%,12.76%,
169,170,Fetch.ai,FET,"$46,343,610",$0.06211,"746,113,681 FET *","$5,674,451",3.25%,8.88%,19.09%,
170,171,Stratis,STRAX,"$44,107,650",$0.4407,"100,074,480 STRAX *","$1,227,466",0.08%,1.76%,-3.55%,
171,172,Pundi X,NPXS,"$43,683,676",$0.0001862,"234,624,488,396 NPXS *","$3,244,182",-1.07%,3.36%,5.10%,
172,173,Handshake,HNS,"$43,433,674",$0.1254,"346,340,034 HNS *","$1,496,840",-0.09%,7.25%,31.07%,
173,174,Everipedia,IQ,"$43,722,071",$0.004394,"9,950,119,469 IQ *","$12,665,931",0.66%,2.81%,70.12%,
174,175,AdEx Network,ADX,"$42,004,459",$0.3716,"113,033,823 ADX *","$2,191,207",-1.20%,7.71%,20.03%,
175,176,Power Ledger,POWR,"$42,030,282",$0.09913,"423,992,467 POWR *","$6,998,724",-0.42%,0.55%,1.35%,
176,177,Harmony,ONE,"$41,360,263",$0.005023,"8,234,250,415 ONE *","$7,304,256",-1.13%,1.65%,13.47%,
177,178,Syscoin,SYS,"$41,430,835",$0.0686,"603,913,038 SYS","$1,780,740",0.44%,-0.85%,17.57%,
178,179,Travala.com,AVA,"$41,189,977",$0.8872,"46,426,097 AVA *","$7,791,502",1.22%,8.45%,24.44%,
179,180,DIA,DIA,"$39,907,875",$1.41,"28,271,916 DIA *","$14,197,094",-1.58%,-2.02%,16.41%,
180,181,ReddCoin,RDD,"$39,542,551",$0.001373,"28,808,713,174 RDD *","$197,973",-13.63%,2.79%,24.33%,
181,182,IoTeX,IOTX,"$39,827,958",$0.006946,"5,734,304,441 IOTX *","$3,305,412",-0.72%,5.77%,5.19%,
182,183,STASIS EURO,EURS,"$39,442,492",$1.23,"31,979,207 EURS *","$1,740,052",0.02%,1.09%,1.21%,
183,184,The Midas Touch Gold,TMTG,"$39,329,390",$0.004772,"8,241,111,256 TMTG *","$2,830,415",-1.53%,-5.50%,-25.55%,
184,185,ShareToken,SHR,"$38,988,767",$0.01896,"2,055,977,162 SHR *","$2,019,943",1.30%,4.00%,-6.44%,
185,186,MCO,MCO,"$37,371,355",$2.37,"15,793,831 MCO *","$16,986,130",-3.05%,-1.06%,1.07%,
186,187,SOLVE,SOLVE,"$37,904,921",$0.1009,"375,664,079 SOLVE *","$3,923,775",1.77%,14.53%,9.70%,
187,188,IRISnet,IRIS,"$37,273,236",$0.03967,"939,625,783 IRIS *","$3,221,439",0.97%,4.00%,10.74%,
188,189,Voyager Token,VGX,"$37,311,116",$0.1678,"222,295,208 VGX *","$1,072,438",2.00%,7.12%,4.93%,
189,190,Nimiq,NIM,"$36,959,070",$0.005197,"7,112,261,641 NIM","$2,117,353",-0.86%,7.02%,53.34%,
190,191,SALT,SALT,"$36,860,796",$0.4687,"78,652,938 SALT *","$102,465",-0.07%,7.58%,41.35%,
191,192,GateToken,GT,"$36,705,146",$0.5013,"73,224,744 GT *","$25,750,033",-0.46%,3.46%,11.05%,
192,193,Aidos Kuneen,ADK,"$36,344,315",$1.45,"25,000,000 ADK *","$4,380,584",-4.31%,322.55%,470.99%,
193,194,xDai,STAKE,"$35,699,131",$9.66,"3,697,148 STAKE *","$2,883,923",1.17%,-2.03%,17.67%,
194,195,Populous,PPT,"$35,634,624",$0.6692,"53,252,246 PPT *","$2,054,345",0.12%,2.23%,48.90%,
195,196,Aion,AION,"$34,791,987",$0.07137,"487,496,874 AION","$2,187,108",1.77%,-2.33%,9.57%,
196,197,QuarkChain,QKC,"$34,719,675",$0.005425,"6,399,906,497 QKC *","$3,466,622",-0.14%,-0.67%,4.32%,
197,198,WaykiChain,WICC,"$34,454,494",$0.1823,"189,000,000 WICC *","$12,541,669",-1.48%,2.84%,16.48%,
198,199,Firo,XZC,"$33,777,010",$2.96,"11,394,356 XZC","$3,430,001",-0.05%,1.55%,-8.50%,
199,200,Elastos,ELA,"$33,759,028",$1.96,"17,244,540 ELA","$6,098,552",1.46%,23.63%,29.55%,
